"id","timestamp","log_level","ip","user_agent","message"
1,"2024-12-23 17:17:01.630717","INFO","237.243.185.75","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Safari/537.36","Database connection established."
2,"2024-12-23 17:17:02.864708","INFO","213.150.173.125","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/91.0","Database connection established."
3,"2024-12-23 17:17:03.837136","INFO","237.243.185.75","Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/90.0 Mobile Safari/537.36","Database connection established."
4,"2024-12-23 17:17:04.493723","DEBUG","142.196.66.187","Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/90.0 Mobile Safari/537.36","File uploaded successfully."
5,"2024-12-23 17:17:05.03217","DEBUG","36.255.19.178","Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/90.0 Mobile Safari/537.36","File uploaded successfully."
6,"2024-12-23 17:17:06.26808","DEBUG","207.216.5.117","Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/90.0 Mobile Safari/537.36","File uploaded successfully."
7,"2024-12-23 17:17:07.569796","DEBUG","36.94.221.77","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Safari/537.36","File uploaded successfully."
8,"2024-12-23 17:17:08.856366","DEBUG","214.202.213.76","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Safari/537.36","Database connection established."
9,"2024-12-23 17:17:09.595638","DEBUG","214.202.213.76","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/91.0","Database connection established."
10,"2024-12-23 17:17:10.239915","DEBUG","22.130.247.245","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/91.0","Database connection established."
11,"2024-12-23 17:17:11.576569","INFO","85.43.142.246","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Safari/537.36","Database connection established."
12,"2024-12-23 17:17:12.831355","INFO","26.250.180.105","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Safari/537.36","Database connection established."
13,"2024-12-23 17:17:14.184411","DEBUG","36.94.221.77","Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/90.0 Mobile Safari/537.36","API request received."
14,"2024-12-23 17:17:14.772787","INFO","142.196.66.187","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Safari/537.36","Database connection established."
15,"2024-12-23 17:17:15.561437","DEBUG","26.250.180.105","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Safari/537.36","File uploaded successfully."
16,"2024-12-23 17:17:16.480543","WARNING","111.188.71.162","Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/90.0 Mobile Safari/537.36","User logged in successfully."
17,"2024-12-23 17:17:17.852173","DEBUG","214.202.213.76","Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/90.0 Mobile Safari/537.36","Database connection established."
18,"2024-12-23 17:17:18.512992","INFO","36.94.221.77","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/91.0","Database connection established."
19,"2024-12-23 17:17:19.848534","INFO","111.188.71.162","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Safari/537.36","Database connection established."
20,"2024-12-23 17:17:20.742854","WARNING","36.255.19.178","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/91.0","User logged in successfully."
21,"2024-12-23 17:17:21.906965","DEBUG","142.196.66.187","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/91.0","User logged in successfully."
22,"2024-12-23 17:17:23.36426","INFO","237.243.185.75","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Safari/537.36","Database connection established."
23,"2024-12-23 17:17:24.505732","DEBUG","36.255.19.178","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/91.0","Database connection established."
24,"2024-12-23 17:17:25.995931","ERROR","213.150.173.125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Safari/537.36","Server timeout."
25,"2024-12-23 17:17:27.053876","DEBUG","22.130.247.245","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Safari/537.36","API request received."
26,"2024-12-23 17:17:28.417997","INFO","207.216.5.117","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/91.0","Database connection established."
27,"2024-12-23 17:17:29.863119","DEBUG","36.255.19.178","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Safari/537.36","User logged in successfully."
28,"2024-12-23 17:17:30.45313","INFO","207.216.5.117","Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/90.0 Mobile Safari/537.36","Database connection established."
29,"2024-12-23 17:17:31.572266","INFO","207.216.5.117","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Safari/537.36","Database connection established."
30,"2024-12-23 17:17:32.415576","DEBUG","36.255.19.178","Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/90.0 Mobile Safari/537.36","File uploaded successfully."
31,"2024-12-23 17:17:33.828688","DEBUG","142.196.66.187","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/91.0","Database connection established."
32,"2024-12-23 17:17:34.805358","INFO","36.255.19.178","Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/90.0 Mobile Safari/537.36","Database connection established."
33,"2024-12-23 17:17:36.306496","DEBUG","213.150.173.125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Safari/537.36","User logged in successfully."
34,"2024-12-23 17:17:37.155768","INFO","36.94.221.77","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/91.0","Database connection established."
35,"2024-12-23 17:17:38.350159","DEBUG","207.216.5.117","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Safari/537.36","Database connection established."
36,"2024-12-23 17:17:39.666528","DEBUG","22.130.247.245","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Safari/537.36","File uploaded successfully."
37,"2024-12-23 17:17:40.711122","DEBUG","237.243.185.75","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Safari/537.36","Database connection established."
38,"2024-12-23 17:17:41.946812","DEBUG","36.94.221.77","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/91.0","File uploaded successfully."
39,"2024-12-23 17:17:43.109227","DEBUG","237.243.185.75","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/91.0","Database connection established."
40,"2024-12-23 17:17:44.199387","INFO","26.250.180.105","Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/90.0 Mobile Safari/537.36","Database connection established."
41,"2024-12-23 17:17:44.769571","INFO","85.43.142.246","Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/90.0 Mobile Safari/537.36","Database connection established."
42,"2024-12-23 17:17:46.168305","DEBUG","85.43.142.246","Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/90.0 Mobile Safari/537.36","API request received."
43,"2024-12-23 17:17:47.117063","DEBUG","214.202.213.76","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Safari/537.36","File uploaded successfully."
44,"2024-12-23 17:17:48.205","DEBUG","22.130.247.245","Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/90.0 Mobile Safari/537.36","File uploaded successfully."
45,"2024-12-23 17:17:48.955665","WARNING","36.255.19.178","Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/90.0 Mobile Safari/537.36","User logged in successfully."
46,"2024-12-23 17:17:49.736636","DEBUG","214.202.213.76","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/91.0","Database connection established."
47,"2024-12-23 17:17:50.406683","INFO","111.188.71.162","Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/90.0 Mobile Safari/537.36","Database connection established."
48,"2024-12-23 17:17:51.726615","INFO","214.202.213.76","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/91.0","Database connection established."
49,"2024-12-23 17:17:52.546991","INFO","111.188.71.162","Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/90.0 Mobile Safari/537.36","Database connection established."
50,"2024-12-23 17:17:53.982064","INFO","214.202.213.76","Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/90.0 Mobile Safari/537.36","Database connection established."
51,"2024-12-23 17:17:54.562449","DEBUG","36.255.19.178","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/91.0","File uploaded successfully."
52,"2024-12-23 17:17:55.822679","ERROR","22.130.247.245","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Safari/537.36","Server timeout."
53,"2024-12-23 17:17:56.706367","INFO","142.196.66.187","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/91.0","Database connection established."
54,"2024-12-23 17:17:57.574321","INFO","85.43.142.246","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/91.0","Database connection established."
55,"2024-12-23 17:17:58.305341","ERROR","142.196.66.187","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/91.0","Server timeout."
56,"2024-12-23 17:17:59.044812","DEBUG","85.43.142.246","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/91.0","Database connection established."
57,"2024-12-23 17:17:59.557865","INFO","85.43.142.246","Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/90.0 Mobile Safari/537.36","Database connection established."
58,"2024-12-23 17:18:00.678917","INFO","111.188.71.162","Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/90.0 Mobile Safari/537.36","Database connection established."
59,"2024-12-23 17:18:01.612319","INFO","85.43.142.246","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/91.0","Database connection established."
60,"2024-12-23 17:18:02.65757","DEBUG","237.243.185.75","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/91.0","User logged in successfully."
61,"2024-12-23 17:18:03.179026","DEBUG","111.188.71.162","Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/90.0 Mobile Safari/537.36","API request received."
62,"2024-12-23 17:18:03.723828","INFO","213.150.173.125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Safari/537.36","Database connection established."
63,"2024-12-23 17:18:04.876285","DEBUG","36.255.19.178","Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/90.0 Mobile Safari/537.36","File uploaded successfully."
64,"2024-12-23 17:18:05.393101","INFO","142.196.66.187","Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/90.0 Mobile Safari/537.36","Database connection established."
65,"2024-12-23 17:18:06.586686","DEBUG","36.94.221.77","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/91.0","File uploaded successfully."
66,"2024-12-23 17:18:07.880139","DEBUG","22.130.247.245","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/91.0","File uploaded successfully."
